Дата операции;Дата платежа;Номер карты;Статус;Сумма операции;Валюта операции;Сумма платежа;Валюта платежа;Кэшбэк;Категория;MCC;Описание;Бонусы (включая кэшбэк);Округление на инвесткопилку;Сумма операции с округлением
30.11.2024 18:39;30.11.2024;*3645;OK;-2200;RUB;-2200;RUB;110;Рестораны;5813;Бар;110;0;2200
30.11.2024 18:39;30.11.2024;*3645;OK;500;RUB;500;RUB;;Переводы;;Денис Г.;0;0;500
30.11.2024 18:37;30.11.2024;*3645;OK;2000;RUB;2000;RUB;;Переводы;;Денис Г.;0;0;2000
30.11.2024 16:31;30.11.2024;*3645;OK;-120391;RUB;-120391;RUB;1203;Дом и ремонт;5722;DNS;1203;0;120391
30.11.2024 16:25;30.11.2024;*3645;OK;20000;RUB;20000;RUB;;Переводы;;Денис Г.;0;0;20000
30.11.2024 16:20;30.11.2024;;OK;100000;RUB;100000;RUB;;Переводы;;Перевод между счетами;0;0;100000
30.11.2024 16:20;30.11.2024;;OK;-100000;RUB;-100000;RUB;;Переводы;;Перевод между счетами;0;0;100000
29.11.2024 18:36;29.11.2024;*3645;OK;-1011,89;RUB;-1011,89;RUB;10;Супермаркеты;5411;Магнит;10;0;1011,89
29.11.2024 18:26;29.11.2024;;OK;-600;RUB;-600;RUB;;Переводы;;Ринат М.;0;0;600
29.11.2024 18:15;29.11.2024;;OK;-70;RUB;-70;RUB;;Мобильная связь;;Билайн +7 965 947-13-65;0;0;70
29.11.2024 16:42;30.11.2024;*3645;OK;-1578;RUB;-1578;RUB;15;Топливо;5541;Роснефть;15;0;1578
28.11.2024 20:01;28.11.2024;*3645;OK;500;RUB;500;RUB;;Переводы;;Ринат М.;0;0;500
28.11.2024 16:39;28.11.2024;*3645;OK;-1283,91;RUB;-1283,91;RUB;12;Супермаркеты;5411;Пятёрочка;12;0;1283,91
28.11.2024 16:35;28.11.2024;*3645;OK;2000;RUB;2000;RUB;;Переводы;;Денис Г.;0;0;2000
27.11.2024 23:35;28.11.2024;*3645;OK;-720;RUB;-720;RUB;7;Маркетплейсы;5300;WILDBERRIES;7;0;720
27.11.2024 13:38;27.11.2024;;OK;-7123;RUB;-7123;RUB;;Спорттовары;5655;Спортмастер;0;0;7123
27.11.2024 13:36;27.11.2024;*3645;OK;10000;RUB;10000;RUB;;Переводы;;Денис Г.;0;0;10000
26.11.2024 18:57;26.11.2024;*3645;OK;-1069,92;RUB;-1069,92;RUB;10;Супермаркеты;5411;Магнит;10;0;1069,92
26.11.2024 18:52;26.11.2024;*3645;OK;1000;RUB;1000;RUB;;Переводы;;Денис Г.;0;0;1000
26.11.2024 18:16;26.11.2024;*3645;OK;-35;RUB;-35;RUB;;Транспорт;4131;ИжГЭТ;0;0;35
26.11.2024 16:11;26.11.2024;;OK;-30;RUB;-30;RUB;;Переводы;;Нина К.;0;0;30
26.11.2024 13:53;26.11.2024;*3645;OK;-40;RUB;-40;RUB;;Сервис;7311;BlaBlaCar;0;0;40
26.11.2024 13:49;26.11.2024;*3645;OK;-35;RUB;-35;RUB;;Транспорт;4131;ИжГЭТ;0;0;35
26.11.2024 12:29;26.11.2024;*3645;OK;-600;RUB;-600;RUB;6;Фастфуд;5814;Столовая;6;0;600
26.11.2024 12:20;26.11.2024;*3645;OK;850;RUB;850;RUB;;Переводы;;Денис Г.;0;0;850
26.11.2024 12:05;26.11.2024;;OK;-600;RUB;-600;RUB;;Переводы;;Рамис Х.;0;0;600
26.11.2024 12:04;26.11.2024;*3645;FAILED;-600;RUB;-600;RUB;;;;Рамис Х.;0;0;600
26.11.2024 3:16;26.11.2024;;OK;-15;RUB;-15;RUB;;Мобильная связь;;Билайн +7 965 947-13-65;0;0;15
25.11.2024 16:14;25.11.2024;;OK;-65;RUB;-65;RUB;;Мобильная связь;;Билайн +7 965 947-13-65;0;0;65
25.11.2024 16:01;25.11.2024;;OK;-60;RUB;-60;RUB;;Мобильная связь;;МТС +7 917 731-88-53;0;0;60
25.11.2024 12:00;25.11.2024;;OK;-909;RUB;-909;RUB;;Супермаркеты;5300;Avito;0;0;909
25.11.2024 12:00;25.11.2024;*3645;OK;1871;RUB;1871;RUB;;Переводы;;Денис Г.;0;0;1871
25.11.2024 8:37;25.11.2024;*3645;OK;-80;RUB;-80;RUB;;Сервис;7311;BlaBlaCar;0;0;80
25.11.2024 8:04;25.11.2024;*3645;OK;-316;RUB;-316;RUB;3;Маркетплейсы;5300;WILDBERRIES;3;0;316
24.11.2024 10:59;24.11.2024;*3645;OK;-396;RUB;-396;RUB;3;Различные товары;5331;Fix Price;3;0;396
24.11.2024 10:55;24.11.2024;*3645;OK;-2500;RUB;-2500;RUB;25;Дом и ремонт;5200;Магазин ИП Акмалова г. Агидель;25;0;2500
24.11.2024 10:52;24.11.2024;*3645;OK;-534,93;RUB;-534,93;RUB;5;Супермаркеты;5411;Монетка;5;0;534,93
24.11.2024 10:38;24.11.2024;*3645;OK;3000;RUB;3000;RUB;;Переводы;;Денис Г.;0;0;3000
24.11.2024 8:07;24.11.2024;*3645;OK;-150;RUB;-150;RUB;7;Развлечения;7997;МБУ СДЦ АГИДЕЛЬ г. Агидель;7;0;150
24.11.2024 8:04;24.11.2024;*3645;OK;900;RUB;900;RUB;;Переводы;;Денис Г.;0;0;900
23.11.2024 17:45;23.11.2024;*3645;OK;-97,98;RUB;-97,98;RUB;;Супермаркеты;5499;Красное и белое;0;0;97,98
23.11.2024 17:45;23.11.2024;*3645;OK;-399,99;RUB;-399,99;RUB;3;Супермаркеты;5499;Красное и белое;3;0;399,99
23.11.2024 17:41;23.11.2024;*3645;OK;-368;RUB;-368;RUB;3;Маркетплейсы;5300;WILDBERRIES;3;0;368
23.11.2024 7:04;25.11.2024;;OK;-318,14;RUB;-318,14;RUB;3;Цифровые товары;5818;wolf1vpnbot;3;0;318,14
22.11.2024 19:03;22.11.2024;*3645;OK;-468,72;RUB;-468,72;RUB;4;Супермаркеты;5411;Пятёрочка;4;0;468,72
22.11.2024 19:01;22.11.2024;*3645;OK;1442;RUB;1442;RUB;;Переводы;;Денис Г.;0;0;1442
22.11.2024 16:25;22.11.2024;;OK;-150;RUB;-150;RUB;7;Развлечения;7997;МАУ СДЦ АГИДЕЛЬ_P_QR;7;0;150
21.11.2024 15:32;21.11.2024;*3645;OK;-707;RUB;-707;RUB;7;Маркетплейсы;5300;WILDBERRIES;7;0;707
21.11.2024 15:32;21.11.2024;*3645;OK;1000;RUB;1000;RUB;;Переводы;;Денис Г.;0;0;1000
20.11.2024 10:56;20.11.2024;*3645;OK;-871,89;RUB;-871,89;RUB;8;Супермаркеты;5411;Пятёрочка;8;0;871,89
20.11.2024 10:41;20.11.2024;*3645;OK;1000;RUB;1000;RUB;;Переводы;;Денис Г.;0;0;1000
20.11.2024 8:45;20.11.2024;*3645;OK;-150;RUB;-150;RUB;7;Развлечения;7997;МБУ СДЦ АГИДЕЛЬ г. Агидель;7;0;150
19.11.2024 20:31;19.11.2024;*3645;OK;-678,96;RUB;-678,96;RUB;6;Супермаркеты;5411;Пятёрочка;6;0;678,96
18.11.2024 16:26;18.11.2024;*3645;OK;-150;RUB;-150;RUB;7;Развлечения;7997;МБУ СДЦ АГИДЕЛЬ г. Агидель;7;0;150
18.11.2024 16:26;18.11.2024;*3645;OK;1000;RUB;1000;RUB;;Переводы;;Денис Г.;0;0;1000
18.11.2024 15:42;18.11.2024;*3645;OK;-970,89;RUB;-970,89;RUB;9;Супермаркеты;5411;Пятёрочка;9;0;970,89
18.11.2024 15:28;18.11.2024;*3645;OK;1000;RUB;1000;RUB;;Переводы;;Денис Г.;0;0;1000
17.11.2024 22:19;18.11.2024;*3645;OK;-1738;RUB;-1738;RUB;17;Фастфуд;5814;Dostavka vkusnoi edi;17;0;1738
17.11.2024 20:51;17.11.2024;;OK;-215;RUB;-215;RUB;;Переводы;;Регина А.;0;0;215
16.11.2024 19:57;16.11.2024;;OK;-930;RUB;-930;RUB;;Переводы;;Елена Н.;0;0;930
16.11.2024 9:40;16.11.2024;*3645;OK;-150;RUB;-150;RUB;7;Развлечения;7997;МБУ СДЦ АГИДЕЛЬ г. Агидель;7;0;150
15.11.2024 17:50;15.11.2024;*3645;OK;-661,94;RUB;-661,94;RUB;6;Супермаркеты;5411;Пятёрочка;6;0;661,94
15.11.2024 15:22;15.11.2024;*3645;OK;-480,6;RUB;-480,6;RUB;4;Цифровые товары;5816;Steam-account.ru;4;0;480,6
14.11.2024 19:17;14.11.2024;*3645;OK;-599,96;RUB;-599,96;RUB;5;Супермаркеты;5411;Магнит;5;0;599,96
14.11.2024 6:09;14.11.2024;;OK;-4270;RUB;-4270;RUB;;Кредиты;;Регулярный платеж;0;0;4270
14.11.2024 5:16;14.11.2024;;OK;-70;RUB;-70;RUB;;Мобильная связь;;МТС +7 917 731-88-53;0;0;70
13.11.2024 15:38;13.11.2024;*3645;OK;-150;RUB;-150;RUB;7;Развлечения;7997;МБУ СДЦ АГИДЕЛЬ г. Агидель;7;0;150
13.11.2024 14:04;13.11.2024;*3645;OK;-399;RUB;-399;RUB;3;Онлайн-кинотеатры;7841;Иви;3;0;399
13.11.2024 2:07;13.11.2024;*3645;OK;3954;RUB;3954;RUB;;Супермаркеты;5300;Пополнение от организации;0;0;3954
12.11.2024 21:44;12.11.2024;;OK;-3954;RUB;-3954;RUB;;Супермаркеты;5300;Avito;0;0;3954
12.11.2024 19:54;12.11.2024;*3645;OK;5000;RUB;5000;RUB;;Переводы;;Ринат М.;0;0;5000
12.11.2024 17:57;12.11.2024;*3645;OK;-268,37;RUB;-268,37;RUB;2;Супермаркеты;5411;Пятёрочка;2;0;268,37
12.11.2024 17:16;13.11.2024;*3645;OK;-1566;RUB;-1566;RUB;15;Топливо;5541;Роснефть;15;0;1566
12.11.2024 15:57;12.11.2024;*3645;OK;2000;RUB;2000;RUB;;Переводы;;Денис Г.;0;0;2000
11.11.2024 18:41;11.11.2024;*3645;OK;-1250;RUB;-1250;RUB;12;Аптеки;5912;Аптека;12;0;1250
11.11.2024 18:40;11.11.2024;*3645;OK;668;RUB;668;RUB;;Переводы;;Денис Г.;0;0;668
11.11.2024 13:11;12.11.2024;*3645;OK;-279;RUB;-279;RUB;2;Топливо;5541;ЛУКОЙЛ;2;0;279
11.11.2024 12:39;11.11.2024;;OK;-520;RUB;-520;RUB;;Переводы;;Ирина Г.;0;0;520
11.11.2024 12:39;11.11.2024;;OK;-230;RUB;-230;RUB;;Переводы;;Азалия С.;0;0;230
11.11.2024 12:30;11.11.2024;;OK;4270;RUB;4270;RUB;;Переводы;;Перевод между счетами;0;0;4270
11.11.2024 12:30;11.11.2024;;OK;-4270;RUB;-4270;RUB;;Переводы;;Перевод между счетами;0;0;4270
11.11.2024 12:29;11.11.2024;*3645;OK;5000;RUB;5000;RUB;;Переводы;;Денис Г.;0;0;5000
11.11.2024 12:11;11.11.2024;*3645;OK;-53,38;RUB;-53,38;RUB;;Супермаркеты;5499;Красное и белое;0;0;53,38
10.11.2024 17:53;10.11.2024;*3645;OK;-65;RUB;-65;RUB;;Супермаркеты;5411;IP Zotova.;0;0;65
10.11.2024 17:28;10.11.2024;*3645;OK;-512;RUB;-512;RUB;5;Различные товары;5993;Сеть табачных бутиков CORSAR;5;0;512
10.11.2024 16:37;10.11.2024;*3645;OK;-703;RUB;-703;RUB;7;Фастфуд;5814;Кафе;7;0;703
